Train Loss,no train rows,Test Loss,No test rows,Time taken (M),Date,Time
8072800.204,675520,6212550.049,168896,2.92,16/01/2023,12:20:00
7938554.874,675520,6269092.741,168896,2.92,16/01/2023,12:21:00
7827356.428,675520,6092605.119,168896,2.89,16/01/2023,12:23:00
7711331.335,675520,6501510.623,168896,2.92,16/01/2023,12:24:00
7517701.055,675520,6174100.997,168896,2.88,16/01/2023,12:25:00
7328381.304,675520,6247009.478,168896,2.88,16/01/2023,12:27:00
8347964.713,675520,7207709.63,168896,2.7,16/01/2023,12:28:00
7889101.86,675520,6754266.671,168896,2.88,16/01/2023,12:30:00
7694078.576,675520,6507723.112,168896,2.92,16/01/2023,12:31:00
7564774.542,675520,6515019.125,168896,2.9,16/01/2023,12:33:00
7419263.112,675520,6452303.81,168896,2.92,16/01/2023,12:34:00
7247010.268,675520,6369372.292,168896,2.94,16/01/2023,12:36:00
7121383.286,675520,6257121.901,168896,2.92,16/01/2023,12:37:00
6972832.582,675520,6347942.756,168896,2.94,16/01/2023,12:39:00
6875939.805,675520,6060079.091,168896,2.95,16/01/2023,12:40:00
6825339.19,675520,5994751.848,168896,2.94,16/01/2023,12:41:00
58009091.12,675520,58036095.6,168896,2.25,16/01/2023,13:53:00
58008976.74,675520,58035525.76,168896,2.38,16/01/2023,13:54:00
7316990.494,675520,6493804.788,168896,2.42,16/01/2023,13:56:00
6733955.605,675520,6327427.935,168896,2.62,16/01/2023,13:58:00
6537202.2,675520,6161487.27,168896,2.6,16/01/2023,13:59:00
6416173.738,675520,5991453.421,168896,2.6,16/01/2023,14:00:00
6328858.216,675520,5989990.231,168896,2.62,16/01/2023,14:02:00
6241349.047,675520,5901606.552,168896,2.64,16/01/2023,14:03:00
6170638.834,675520,5794042.191,168896,2.62,16/01/2023,14:04:00
6109798.03,675520,5878722.767,168896,2.64,16/01/2023,14:06:00
6060706.326,675520,5796315.349,168896,2.62,16/01/2023,14:07:00
6004994.699,675520,5797137.784,168896,2.64,16/01/2023,14:08:00
5945134.366,675520,5545662.097,168896,2.64,16/01/2023,14:09:00
5905216.928,675520,5516077.587,168896,2.64,16/01/2023,14:11:00
5864926.283,675520,5409183.295,168896,2.63,16/01/2023,14:12:00
5847018.303,675520,5464883.634,168896,2.66,16/01/2023,14:13:00
5802937.908,675520,5420796.263,168896,2.68,16/01/2023,14:15:00
5791116.943,675520,5416693.984,168896,2.64,16/01/2023,14:16:00
5779189.477,675520,5346624.254,168896,2.7,16/01/2023,14:17:00
5748538.504,675520,5318504.675,168896,2.69,16/01/2023,14:19:00
5725996.965,675520,5293218.876,168896,2.66,16/01/2023,14:20:00
5697765.459,675520,5445235.2,168896,2.69,16/01/2023,14:21:00
5683180.374,675520,5215229.298,168896,2.71,16/01/2023,14:23:00
5648615.62,675520,5237605.663,168896,2.69,16/01/2023,14:24:00
5620418.225,675520,5159580.524,168896,2.68,16/01/2023,14:26:00
5605455.183,675520,5210720.441,168896,2.69,16/01/2023,14:27:00
5588109.687,675520,5158183.074,168896,2.7,16/01/2023,14:28:00
5567332.488,675520,5120082.567,168896,2.68,16/01/2023,14:30:00
5541919.413,675520,5325850.71,168896,2.68,16/01/2023,14:31:00
5520719.384,675520,5082938.619,168896,2.68,16/01/2023,14:32:00
5514624.504,675520,5095107.846,168896,2.7,16/01/2023,14:34:00
5495674.492,675520,5374175.351,168896,2.68,16/01/2023,14:35:00
5487195.766,675520,5197745.021,168896,2.66,16/01/2023,14:36:00
5466251.38,675520,5178252.83,168896,2.66,16/01/2023,14:38:00
5466714.613,675520,5115041.749,168896,2.69,16/01/2023,14:39:00
5426086.916,675520,4908283.09,168896,2.64,16/01/2023,15:10:00
5407684.233,675520,4878659.465,168896,2.68,16/01/2023,15:11:00
5380184.218,675520,4865908.022,168896,2.68,16/01/2023,15:13:00
5372562.223,675520,4845886.324,168896,2.66,16/01/2023,15:14:00
5359614.693,675520,4854170.798,168896,2.66,16/01/2023,15:15:00
5350777.746,675520,4843482.465,168896,2.7,16/01/2023,15:17:00
5353841.464,675520,4864791.727,168896,2.68,16/01/2023,15:18:00
5349682.727,675520,4832698.408,168896,2.66,16/01/2023,15:19:00
5338769.578,675520,4829873.942,168896,2.68,16/01/2023,15:21:00
5699772.614,675520,5076863.812,168896,2.47,16/01/2023,15:23:00
5022396.513,675520,4786972.8,168896,2.41,16/01/2023,15:25:00
5008496.689,675520,4785189.948,168896,2.72,16/01/2023,15:26:00
5009696.485,675520,4771579.177,168896,2.66,16/01/2023,15:28:00
5002354.308,675520,4757769.217,168896,2.66,16/01/2023,15:29:00
4995887.438,675520,4757316.103,168896,2.64,16/01/2023,15:30:00
4990686.061,675520,4749909.399,168896,2.64,16/01/2023,15:32:00
4996146.391,675520,4750094.774,168896,2.66,16/01/2023,15:33:00
4985992.942,675520,4725999.778,168896,2.66,16/01/2023,15:34:00
4980321.67,675520,4729009.075,168896,2.66,16/01/2023,15:36:00
4982234.217,675520,4722405.978,168896,2.64,16/01/2023,15:37:00
4975085.832,675520,4719550.226,168896,2.66,16/01/2023,15:38:00
4972686.784,675520,4709947.705,168896,2.68,16/01/2023,15:40:00
4964826.362,675520,4711562.3,168896,2.7,16/01/2023,15:41:00
4964682.723,675520,4739021.031,168896,2.68,16/01/2023,15:42:00
4962725.793,675520,4693171.048,168896,2.68,16/01/2023,15:44:00
4962039.227,675520,4696755.662,168896,2.67,16/01/2023,15:45:00
4957182.489,675520,4700651.453,168896,2.7,16/01/2023,15:46:00
4953609.347,675520,4693929.163,168896,2.68,16/01/2023,15:48:00
4952597.011,675520,4678677.811,168896,2.68,16/01/2023,15:49:00
4949481.791,675520,4682413.332,168896,2.69,16/01/2023,15:50:00
5023280.401,675520,4808578.031,168896,2.4,16/01/2023,15:54:00
4942769.905,675520,4685014.99,168896,2.37,16/01/2023,15:57:00
4940480.141,675520,4689118.223,168896,2.59,16/01/2023,15:58:00
4940511.469,675520,4712915.914,168896,2.58,16/01/2023,15:59:00
4940249.879,675520,4679377.557,168896,2.58,16/01/2023,16:01:00
4929933.949,675520,4668419.866,168896,2.6,16/01/2023,16:02:00
4937986.363,675520,4670380.441,168896,2.6,16/01/2023,16:03:00
4927699.833,675520,4678898.219,168896,2.62,16/01/2023,16:04:00
4723231.846,675520,4643766.14,168896,2.41,16/01/2023,16:07:00
4712387.133,675520,4640330.685,168896,2.75,16/01/2023,16:08:00
4708766.269,675520,4651769.805,168896,2.66,16/01/2023,16:09:00
